"NBa7we src","d4r55","RfnDt","rsqaWe","wiI7pd","fontBodySmall","fontBodySmall 2","kyuRq","dSlJg","NlVald","dSlJg 2","NlVald 2","Hzvxle","pkWtMe"
"https://lh3.googleusercontent.com/a-/ALV-UjUoFtrQtRPvLkADyshe2ljSOCucUHg5scBlY5iUjsNqCheCkdM=w36-h36-p-rp-mo-br100","Eddy De Beuckelaer","2 reviews","a day ago","","","","","","","","","",""
"https://lh3.googleusercontent.com/a/ACg8ocIZNdxJy2gTl6sxWCnWIH-gi0zR4_jLgQKB9tmModwvjxY4oA=w36-h36-p-rp-mo-ba3-br100","Xenia Sires","Local Guide · 37 reviews · 12 photos","2 days ago","Genetics department makes mistakes! Were called with results after a chorionic villus sampling - you expect a girl without abnormalities in the DNA. We were allowed to welcome a boy with a disability... Sorry from the department head and that was it. We are sorry. Secretary gave wrong results.

Now again. Drove 50 km one way through the traffic jam for an EMG test for a child. Received an appointment confirmation by email also from the neurology department... they knew nothing and just did another test that was of no use to us.

Time to get the media involved I think....","Translated by Google","・","See original (Dutch)","","Like","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocLoB5uZlbZUHnd8GWcxY7bHqFqPzScFsT5pQjhRC15hEYs2CQ=w36-h36-p-rp-mo-ba4-br100","Liesbeth","Local Guide · 58 reviews · 49 photos","3 days ago","I've been coming here for years. The doctors are knowledgeable, but waiting times for a specialist can be long, especially when there's a preference. Treatment is always discussed with the patient as much as possible, unless a dry message is the only option.
At sensitive moments, doctors support patients where they can; performing magic is unfortunately impossible—even in a university hospital. Some problems are insoluble, and loss is a part of life.
One potential point for improvement, however, is the registration process. There's room for improvement there. Recently, I wanted to get directions from the machine; I'd just removed my ID. Before I knew it, the machine had swallowed the slip of paper with the directions. Privacy is one thing, but swallowing an important piece of paper after only 10 seconds is too fast. I knew which floor I needed to be on, but the number was a guess. Lost time and late arrival were the result.
I reported the problem, and they said they would ask technical support to extend the time between removing the ID and printing the paper. I have to go back in a few months, so to be continued.","Translated by Google","・","See original (Dutch)","","Like","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWK665qoYgrojNaY8tVqAOEAAVp8_aobH6tLDbKahoEeEoX6Wz0=w36-h36-p-rp-mo-br100","Melisteria","8 reviews · 5 photos","3 days ago","Review for UZA Emergency Department – ​​Night of Friday July 4, 2025

On Friday evening, July 4, 2025, I arrived at the emergency department of UZA around 7:30 PM with a severe allergic reaction. My skin was swelling, my throat was narrowing and my entire body was covered in red spots. Nevertheless, I was placed in a room, where I had to wait for more than 5 hours before I saw a doctor. (from under a photo of my foot with the spots) this is what my entire body looked like.

When a doctor finally came in, I was told:
“What do you want us to do about this?”
A completely inappropriate response, especially for someone who was visibly in trouble. Because I was in shock, I simply replied:
“Your job.”
The doctor then disappeared “to look at my file” and was gone for more than an hour. He came back, took a quick look at the rash on my skin and disappeared again for almost an hour. Around midnight he came back with the message:
""I can't help you if you don't have a fever.""

In the meantime my condition deteriorated: my face felt paralyzed, my lips were swollen and rock hard, and I felt my throat closing up more and more. My friend and I then drove straight to the hospital in Reet (Rivierenland).

The approach there was completely different: within 10 minutes I was given an injection, an IV and I was taken seriously. The doctor there confirmed that my situation was serious and even said that if I had come 10 minutes later, things could have ended much worse.

I am writing this review in the hope that UZA takes this feedback seriously. What I experienced there was downright disappointing and dangerous. I was in a room for 5 hours with an allergic reaction that could have been life-threatening, and received hardly any help. That is not how an emergency room is supposed to work.","Translated by Google","・","See original (Dutch)","","Like","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocL-ViYiPwJl0xfMT6arPqIPXpp8mszduFFOz2T6eLEmfZBlQQ=w36-h36-p-rp-mo-br100","Mihai B","6 reviews","5 days ago","The worst hospital!!!
I went to the hospital with my girlfriend, kept us for five hours and only the tension took her.. she was probably full of swabs, probably some allergy, they still said that we had nothing to do to you. 👎🏻👎🏻👎🏻 …","","","","","Like","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjVBzvLMwajegA807TsN8Fr79OTluJnY2NtpmAI-hcSZsjVGTiw=w36-h36-p-rp-mo-br100","Eric Feremans","6 reviews","a week ago","Very competent and friendly nurses and caregivers. The doctors are also professional.
All these people have given me a second life.","Translated by Google","・","See original (Dutch)","","Like","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocK-p2fvdVo0XKzuGRkw03WybCj0B4ECToIaW6hDpJ5iXX6J9w=w36-h36-p-rp-mo-ba5-br100","Bert Verlinden","Local Guide · 171 reviews · 43 photos","2 weeks ago","","","","","","","","","",""
"https://lh3.googleusercontent.com/a/ACg8ocKTsk59mpp4u45jWQ4nYfk52dYF6QdeY17mFDkpp_Q_I3qgQA=w36-h36-p-rp-mo-br100","Eyyup Isik","2 reviews","3 weeks ago","My mother had back problems, her back was blocked, waited 4 hours and still no one helped at the emergency room! Finally we left there. We will never go THERE again!!!","Translated by Google","・","See original (Dutch)","","","","Share","Like","1"
"https://lh3.googleusercontent.com/a/ACg8ocIsNbh-R2Twkt03OPxs6EDNsNpNzAbsFQ9ariOCFSGs-xLnvw=w36-h36-p-rp-mo-br100","Jakub Jakub","","3 weeks ago","","","","","","","","","",""
"https://lh3.googleusercontent.com/a/ACg8ocKuVfWQEifTR8oZFcqcpbgI5yDp9kzn4zewkkRE1G6pdp_V=w36-h36-p-rp-mo-ba3-br100","Lee bzmr","Local Guide · 39 reviews · 2 photos","4 weeks ago","20:00 arrived at 02:00 at night forwarded to Cadix in Antwerp because they did not have the necessary expertise because you did not find out in the first hour? Last time I come here I always have to wait 8 hours at least 3rd time I come here last time","Translated by Google","・","See original (Dutch)","","","","Share","Like","1"
