"NBa7we src","d4r55","RfnDt","rsqaWe","wiI7pd","fontBodySmall","fontBodySmall 2","kyuRq","dSlJg","dSlJg 2","NlVald 2","Hzvxle","pkWtMe"
"https://lh3.googleusercontent.com/a-/ALV-UjVnjJVrCGCNfssphQykq9S6RST11_ugv2M7WYFSzDxq_riBL--S=w36-h36-p-rp-mo-br100","Kathleen Peeters","5 reviews · 7 photos","6 hours ago","","","","","","","","",""
"https://lh3.googleusercontent.com/a/ACg8ocJv1PcBVg0elPddJny8_AVPAjDEaWCYb45fUhNru89qVmnONg=w36-h36-p-rp-mo-br100","Ad Pir","8 reviews","a week ago","Mafia dirty doctor","Translated by Google","・","See original (Dutch)","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUg8PhiGN8w0ZfkUTv003mIJDgXvt_picPSzmDodpP_BARGXs_5=w36-h36-p-rp-mo-ba3-br100","Luc Devigne","Local Guide · 42 reviews","2 weeks ago","Pleasant staff who listen to the patient, even though I am Walloon and everyone speaks to you in French.","Translated by Google","・","See original (French)","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXibanv_Ob_xnJP1ayLf-EsUhW66OgHmxV_SZi7A3SIhcSm2VWn=w36-h36-p-rp-mo-br100","J S DC","5 reviews","3 weeks ago","My trajectory at UZ Gent started when I was 12 years old, for guidance on gender dysphoria. Unfortunately, this has developed into one of the worst experiences of my life. The follow-up was substandard from the start: from child psychologist to plastic surgery.

My future wish to have children was never taken into account. Prof. Monstrey followed me further within plastic surgery - a decision that I now consider to be the biggest mistake of my life. The communication was downright bad. The operation was eventually performed by a student under his supervision, and this went wrong. Numerous complications followed, and the urology team was completely ignored, resulting in even more problems on the urological level.

I was later promised corrections by the plastic team, once everything had healed. But those promises were not kept. I did not receive proper aftercare, which has now left me with trauma. Despite my fear, I returned to the plastic surgery department, with an appointment with Prof. Buncamper. He refused any form of correction, although this had been promised earlier. Instead, I received a card from a tattoo artist who could tattoo “realistically”. I could clearly see from the photos that it was a belly flap – when I mentioned this, I was immediately dismissed without explanation.

My attempts to seek help again always ended in disappointment. Even with the lymphatic doctor: my hand has been swollen for 10 years after the operation, but the doctor did not look at me and simply sent me away again. Once again I had gathered courage and made time – for nothing.

The treatment for nerve pain on the scars (via fat injections) also had no effect.

I advise everyone not to take this last step here at UZ Gent. Seek help in another hospital. What happened to me, I would not wish on anyone.","Translated by Google","・","See original (Dutch)","","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocLgsyR_FEbk_fFcmBsJUdspBDrotwRUl5pl4kmcVgpkCsw27A=w36-h36-p-rp-mo-ba2-br100","D Q","Local Guide · 21 reviews","3 weeks ago","Excellent experience with emergency doctor
We were helped by a young looking male emergency doctor and I am very pleased with that. Not only was he super friendly and professional, but he also took the time to check everything thoroughly. His careful approach gave me confidence right away. You really feel that you are in good hands. Keep up the good work - this is how care should be!","Translated by Google","・","See original (Dutch)","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjWxCcEJ8Z2kPZZ6Necy35kSkOj88yeLCwdeigejOfSHA-BGJGo=w36-h36-p-rp-mo-ba2-br100","Simon","Local Guide · 14 reviews","a month ago","This is a huge hospital campus.","","","","","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocJd7fVGKZNYQuvnONb3_zUrDCec4_jtQqq03DFVUa9bgsHSnw=w36-h36-p-rp-mo-br100","Jens","7 reviews · 7 photos","a month ago","","","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXpzjyRc-i8eFGboGLmBVN-H9JfpuzGNiVevuskDKbblzxdVv3q=w36-h36-p-rp-mo-ba2-br100","Xhina Vodo","Local Guide · 13 reviews · 4 photos","a month ago","I have a great experience here met doctors and nurse ❤️❤️","","","","","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocKyJThKIwnoiDqZHDq5TFzmhGguZtpFacnBUleFHtvtzGxu3A=w36-h36-p-rp-mo-ba3-br100","J.B.","Local Guide · 22 reviews","a month ago","","","","","","","","",""
"https://lh3.googleusercontent.com/a/ACg8ocIHfEprtCi72M6CkBQTcsTZoFPazLw93RNwPDfPLDUBwjKk=w36-h36-p-rp-mo-ba4-br100","Greet Van Eynde","Local Guide · 11 reviews","a month ago","","","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjUSGwMGE7WG3Y-dt0le93smgE1zuz-ETOeubNYBZkqn3It8eXTHhQ=w36-h36-p-rp-mo-ba3-br100","Annelies Sonck","Local Guide · 33 reviews · 5 photos","Edited a month ago","Only a lot of praise for the headache specialists.. every time there is thorough consultation with the professor himself, a lot of information, always correct, wants to consult with another hospital before admission in case of emergency, intervenes when the headache suddenly worsens,.. highly recommended for serious headache complaints!

Previously operated on ankle (12 years ago), after that never saw the prof again, tried for a year to get an appointment with him because it was too complex, but never saw him again.. this was a lesser experience..

Not easily accessible and somewhat unclear routes.. long walks when you have limited mobility.
Improved by red block!","Translated by Google","・","See original (Dutch)","","","Share","Like","2"
"https://lh3.googleusercontent.com/a/ACg8ocJaIvZgb5-Vtljdv4cv-fDKaNLSeYGjnHjNLw3bfC1sYBbo5A=w36-h36-p-rp-mo-ba2-br100","Samir","Local Guide · 8 reviews · 41 photos","a month ago","","","","","","","","",""
"https://lh3.googleusercontent.com/a/ACg8ocLUNqYDLrNA3Rs1r6QtR9OPiDu5w0kIkIouF0fSPIbRIKElgQ=w36-h36-p-rp-mo-br100","Barbara Hermans","1 review","a month ago","Top quality care with a human side!","Translated by Google","・","See original (Dutch)","","","Share","",""
"https://lh3.googleusercontent.com/a/ACg8ocI5jtuEeuKy7tukruKeptqw3VWnMayI2KVfT3BUPPN9wUZcpbQ=w36-h36-p-rp-mo-br100","Souf Sa","6 reviews · 1 photo","a month ago","Called with a question about my 6 month old child who had a fever to be connected to the pediatrician to ask a simple question. I was told by the reception on the line that since my child was not born or treated in the UZ in Ghent, they are not allowed to connect me!! Outrageous, you should be ashamed of yourselves!","Translated by Google","・","See original (Dutch)","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXZkzDSJ2zoqQ_OzC_qsa0Cf5sHDZ4GtF5MVtojT7Pb0eib2--EAQ=w36-h36-p-rp-mo-br100","Glenn Janssens","11 reviews","a month ago","The surgeon called my appendix 'a little spicy guy' and gave it a tiny burial in a jewelry box. I wasn't sure what to say so I clapped. Great experience overall.","","","","","","Share","",""
"https://lh3.googleusercontent.com/a-/ALV-UjXR2_XGoSTYQbg9_MwSkUXQwpQOESZ4CBUVnN4cw5QQpvcd5Fhw=w36-h36-p-rp-mo-ba5-br100","Peter Smits","Local Guide · 73 reviews · 966 photos","a month ago","","","","","","","","",""
"https://lh3.googleusercontent.com/a-/ALV-UjViM3EtrUw-4SR2_ByQqoD1XVfJq8zSEasIJ3EjdI7oXqQxvJno=w36-h36-p-rp-mo-ba2-br100","saja rolink","Local Guide · 15 reviews · 10 photos","a month ago","Partner has been a patient there for years and is simply left out in the cold... moved and after two years of searching we still have no family doctor because of a stop in patients everywhere, so we email the endocrinologist for her medication prescriptions. We simply do not get an answer... so now she is without medication for a month until her next check-up... a heart for patients is nowhere to be found","Translated by Google","・","See original (Dutch)","","","Share","Like","1"
"https://lh3.googleusercontent.com/a/ACg8ocIU1GvuP9bPnVLH_WGg5dfFBH-alL33-4j1ov6b9iA9hoIhgg=w36-h36-p-rp-mo-br100","Cataleia Anghel","1 review","a month ago","I am very satisfied with the doctors at this hospital","Translated by Google","・","See original (Romanian)","","","Share","",""
