reviewer,date,original_language,content,hospital,clean_for_sentiment,vader_positive,vader_neutral,vader_negative,vader_compound,vader_sentiment,distilbert_label,distilbert_score
m555,2025-07,English,"I had an ivf consultation with a female Prof. and felt that a conclusion and diagnosis was reached already within 5 mins only by verbal information ı could transfer in that limited time and initial conclusion dominated the whole session. Our test results/documents were not reviewed throughout the session, no physical examination was made. given the complexity of fertility treatments and different approaches different clinics and doctors are following internationally, ı felt the consultation came out too definitive, lack of comparative approach, medical curiosity and individualised perspective. I also felt the manner of conveying information was quite insensitive. I feel ı couldn’t have any nuanced discussion on my input/questions. I found there was not much room to discuss based on previous medical advice from other doctors as well, as the conclusion seemed not to be challenged. Disappointed, wouldn’t go back. Having spoken to different consultants, I haven't encountered a similar lack of empathy in a medical setting. While I respect UZ as a reputable institution, my experience highlights, according to me, how essential it is to find the right doctor for your personal situation and expectations.",UZ Brussel,"i had an ivf consultation with a female prof. and felt that a conclusion and diagnosis was reached already within 5 mins only by verbal information ı could transfer in that limited time and initial conclusion dominated the whole session. our test results/documents were not reviewed throughout the session, no physical examination was made. given the complexity of fertility treatments and different approaches different clinics and doctors are following internationally, ı felt the consultation came out too definitive, lack of comparative approach, medical curiosity and individualised perspective. i also felt the manner of conveying information was quite insensitive. i feel ı couldn’t have any nuanced discussion on my input/questions. i found there was not much room to discuss based on previous medical advice from other doctors as well, as the conclusion seemed not to be challenged. disappointed, wouldn’t go back. having spoken to different consultants, i haven't encountered a similar lack of empathy in a medical setting. while i respect uz as a reputable institution, my experience highlights, according to me, how essential it is to find the right doctor for your personal situation and expectations.",0.04,0.889,0.071,-0.7267,negative,negative,0.9994864463806152
Joan Rangel,2025-07,Spanish,Excellent hospital!! I recommend it.,UZ Brussel,excellent hospital!! i recommend it.,0.693,0.307,0.0,0.7772,positive,positive,0.9998080134391785
juvo92,2025-07,Dutch,Friendly doctors and nurses. I don't really understand all the negative reactions.,UZ Brussel,friendly doctors and nurses. i don't really understand all the negative reactions.,0.189,0.592,0.219,-0.128,neutral,negative,0.9866113662719727
LC,2025-07,French,"I went to UZ Brussel in 2020 for egg cryopreservation and in 2025 for IVF, and I do not recommend this facility. If I had had the choice, I would not have gone back this year. The follow-up is drastically lacking in humanity.

A question asked, a request for information, even a very simple one, results in a phone appointment and a bill. I was well aware that this was a business, but this is disgusting. My file was very poorly managed. Two days before the transfer, the lab was supposed to call me to confirm the transfer. No one called. I called several times without a response. In such a process, it is unacceptable to leave women in total disarray. 15 days later, I am not pregnant. A woman called me to say, ""Bad news! You're not pregnant! Would you like to reschedule?"" I told her I was waiting to hear about the other embryos so I could see if another appointment was necessary. To which she replied, ""You'll receive a letter. I'll let you call us back to reschedule. Have a great day!""

I received a one-line letter two weeks later and no medical report announcing the destruction of all the remaining embryos. It's a bit of a long wait when they can simply tell me over the phone. I guess they don't want to be burdened with the patients' feelings. I had to follow up every other day for a month to get an explanation and an apology, and I just received a new bill for the doctor's apologetic call.

I don't question the doctors' competence, but both of my experiences were extremely violent on a human level.

If my story can help other women avoid going through a similar experience, it will at least have helped in some way.",UZ Brussel,"i went to uz brussel in 2020 for egg cryopreservation and in 2025 for ivf, and i do not recommend this facility. if i had had the choice, i would not have gone back this year. the follow-up is drastically lacking in humanity.

a question asked, a request for information, even a very simple one, results in a phone appointment and a bill. i was well aware that this was a business, but this is disgusting. my file was very poorly managed. two days before the transfer, the lab was supposed to call me to confirm the transfer. no one called. i called several times without a response. in such a process, it is unacceptable to leave women in total disarray. 15 days later, i am not pregnant. a woman called me to say, ""bad news! you're not pregnant! would you like to reschedule?"" i told her i was waiting to hear about the other embryos so i could see if another appointment was necessary. to which she replied, ""you'll receive a letter. i'll let you call us back to reschedule. have a great day!""

i received a one-line letter two weeks later and no medical report announcing the destruction of all the remaining embryos. it's a bit of a long wait when they can simply tell me over the phone. i guess they don't want to be burdened with the patients' feelings. i had to follow up every other day for a month to get an explanation and an apology, and i just received a new bill for the doctor's apologetic call.

i don't question the doctors' competence, but both of my experiences were extremely violent on a human level.

if my story can help other women avoid going through a similar experience, it will at least have helped in some way.",0.045,0.835,0.12,-0.9797,negative,negative,0.9997435212135315
jutta henckaerts,2025-07,Dutch,"The emergency department is horrible. If there is nothing visible, you are simply sent home after waiting for hours. I took the place of a person who really had to be in the emergency department... Afterwards I was urgently operated on by a neurosurgeon. They let me suffer needlessly for 14 days and as a result I have permanent loss of strength. The neurosurgery department was good.",UZ Brussel,"the emergency department is horrible. if there is nothing visible, you are simply sent home after waiting for hours. i took the place of a person who really had to be in the emergency department.. afterwards i was urgently operated on by a neurosurgeon. they let me suffer needlessly for 14 days and as a result i have permanent loss of strength. the neurosurgery department was good.",0.076,0.744,0.18,-0.8126,negative,negative,0.995119571685791
Nicole Ndabu,2025-07,French,"I don't think you should criticize the UZ. If it weren't for this hospital, I would probably have died. I am grateful to them and take my hat off to them. Thank you to all their service and the best vision of care they have.",UZ Brussel,"i don't think you should criticize the uz. if it weren't for this hospital, i would probably have died. i am grateful to them and take my hat off to them. thank you to all their service and the best vision of care they have.",0.252,0.643,0.105,0.8271,positive,positive,0.9993106126785278
Marc Backaert,2025-07,Dutch,Very friendly staff and all bilingual. Negative reviews here come from sour people.,UZ Brussel,very friendly staff and all bilingual. negative reviews here come from sour people.,0.192,0.605,0.203,-0.0534,neutral,negative,0.9918351173400879
Soufianne HD,2025-07,Dutch,"What a disaster this hospital, they show no empathy and there are no doctors, only interns who walk around there arrogantly. It is noisy in the doctor's room while people are waiting for hours. The emergency department gave me 2 tramadols in a period of 4 hours. This only and only to make me wait even longer. Nurses lie, she says that the doctor will be there within a few minutes but after 1 hour still nothing and when you say that the bitch starts laughing. Don't come and be happy when patients become aggressive when you treat them like that.",UZ Brussel,"what a disaster this hospital, they show no empathy and there are no doctors, only interns who walk around there arrogantly. it is noisy in the doctor's room while people are waiting for hours. the emergency department gave me 2 tramadols in a period of 4 hours. this only and only to make me wait even longer. nurses lie, she says that the doctor will be there within a few minutes but after 1 hour still nothing and when you say that the bitch starts laughing. don't come and be happy when patients become aggressive when you treat them like that.",0.132,0.727,0.141,0.5927,positive,negative,0.9996084570884705
Bashar Safar,2025-07,Haitian Creole,good,UZ Brussel,good,1.0,0.0,0.0,0.4404,positive,positive,0.9998161196708679
Annelies Sonck,2025-06,Dutch,"Had terrible experiences the last 2 years in other hospitals, lost my faith in care for a large part...but orthopedic service in UZ Brussels..really wow!
After a year of searching finally a doctor and professor who are friendly and empathetic and clear and honest.. and have knowledge/offer quality and take time and listen...no matter how complex it is, no matter how difficult and not a nice message.. thanks for that!
and they can get extra supplements from me 😅 thank you! Because they are worth it!",UZ Brussel,"had terrible experiences the last 2 years in other hospitals, lost my faith in care for a large part..but orthopedic service in uz brussels..really wow!
after a year of searching finally a doctor and professor who are friendly and empathetic and clear and honest.. and have knowledge/offer quality and take time and listen..no matter how complex it is, no matter how difficult and not a nice message.. thanks for that!
and they can get extra supplements from me 😅 thank you! because they are worth it!",0.288,0.616,0.097,0.9697,positive,positive,0.9986730813980103
